dataset_group,dataset_file,process_count,resource_count,event_count,algorithm,detection_interval,runs,deadlock_detected,actual_deadlock_time,detected_deadlock_time,detection_latency,detection_frequency,detection_time_seconds,detection_overhead_seconds,max_wait_for_edges
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,bfs,10,5,True,72.000,79.000,7.000,9.000,0.000005030,0.000045274,30.000
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,dfs,1,5,True,72.000,72.000,0.000,89.000,0.000002011,0.000179023,30.000
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,dfs,2,5,True,72.000,73.000,1.000,45.000,0.000001836,0.000082629,30.000
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,dfs,5,5,True,72.000,74.000,2.000,18.000,0.000001859,0.000033469,30.000
very_large,very_large/very_large_random_38p_case02.csv,38.000,59.000,89.000,dfs,10,5,True,72.000,79.000,7.000,9.000,0.000001856,0.000016707,30.000
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,bfs,1,5,True,90.000,90.000,0.000,112.000,0.000008882,0.000994751,49.000
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,bfs,2,5,True,90.000,91.000,1.000,56.000,0.000007291,0.000408323,49.000
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,bfs,5,5,True,90.000,94.000,4.000,23.000,0.000006752,0.000155306,49.000
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,bfs,10,5,True,90.000,99.000,9.000,12.000,0.000006429,0.000077146,49.000
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,dfs,1,5,True,90.000,90.000,0.000,112.000,0.000002435,0.000272722,49.000
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,dfs,2,5,True,90.000,91.000,1.000,56.000,0.000002056,0.000115112,49.000
very_large,very_large/very_large_random_42p.csv,42.000,63.000,112.000,dfs,5,5,True,90.000,94.000,4.000,23.000,0.000001986,0.000045675,49.000
